ENDPOINT,METHOD,IMPLEMENTED,AUTH_LEVEL,QUERY_PARAMS,SOURCE_MODELS,RESPONSE_SCHEMA,FORMULA_SUMMARY,MAP_V2_CONSUMES,FRONTEND_CLIENT_METHOD
/api/v1/map/overview,GET,YES,require_admin,"date, round_id, include_inactive","OperationalZone, Meter, MeterReading, ZoneAssignment, User",MapOverviewResponse,"Zone % = confirmed / total_active; Port % = confirmed_tot / total_active",NO,getMapOverview()
/api/v1/map/zones,GET,YES,require_admin,None,"OperationalZone, ZoneAssignment, User, Meter",list[OperationalZoneOut],"Order by code.asc(); latest active ZoneAssignment gives assigned_user",NO,getMapZones()
/api/v1/map/operators,GET,YES,require_admin,None,User,list[UserOut],"Select User where is_active=True order by employee_code.asc()",NO,getMapOperators()
/api/v1/map/meters,GET,YES,require_admin,"date, round_id, zone_id, include_inactive","Delegates to overview; filters by zone_id",list[MapMeterOut],"Semantic state = CONFIRMED | REVIEW | OVERDUE | DUE | PENDING | INACTIVE",NO,getMapMeters()
/api/v1/map/zones/{zone_id}/assign,POST,YES,require_admin + CSRF,"zone_id in path; body: user_id, role, note","OperationalZone, ZoneAssignment, User, AdminAuditLog",ZoneReassignResponse,"Deactivates current assignment; creates new ZoneAssignment; logs admin action",NO,reassignZoneOperator()
/api/v1/map-config/active,GET,YES,Open (Session),None,"MapVersion, MapVersionZone",ActiveMapConfigurationResponse,"Returns single PUBLISHED map version with canonical geometry and landmarks",NO,fetchActiveMapConfiguration()
/api/v1/map-config/versions,GET,YES,require_admin,None,MapVersion,MapVersionListResponse,"Lists all map versions (Draft, Published, Archived)",NO,getMapVersions()
/api/v1/map-config/drafts,POST,YES,require_admin + CSRF,from_version_id,"MapVersion, MapVersionZone",MapVersionOut,"Clones active published version into a new DRAFT",NO,createMapDraft()
/api/v1/map-config/versions/{version_id}/zones/{zone_id},PUT,YES,require_admin + CSRF,"version_id, zone_id",MapVersionZone,MapVersionZoneOut,"Updates presentation geometry with optimistic revision check",NO,updateMapDraftZone()
/api/v1/map-config/versions/{version_id}/validate,POST,YES,require_admin,"version_id in path","MapVersion, MapVersionZone, Meter",MapValidationResponse,"Validates simple polygon, bounds, area >= 500, anchors, meter containment",NO,validateMapVersion()
/api/v1/map-config/versions/{version_id}/publish,POST,YES,require_admin + CSRF,"version_id in path",MapVersion,MapPublishResponse,"Runs validation; atomically sets previous to ARCHIVED and target to PUBLISHED",NO,publishMapVersion()
/api/v1/map-config/versions/{version_id}/rollback,POST,YES,require_admin + CSRF,"version_id in path",MapVersion,MapPublishResponse,"Rolls back atomically to historical validated version",NO,rollbackMapVersion()
