id,meter_code,asset_code,relation_type,is_primary,verification_status,confidence,source,notes
d9017b24-94f2-4ed7-a9f3-515be27d2cca,CT-001,AST-SW-8280,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
4e9a916f-67ee-45de-ae6e-63706c3e118c,CT-001,AST-RTG-62d2,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
a4db8a6a-abdd-432c-ab53-aa53db76a164,CT-001,AST-NEW-SW-918c,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
8619d71d-6862-48e8-b8b5-bd7bb36c9b29,CT-001,AST-SW-8280,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
77220226-3ad0-459c-b280-fc4387a407bc,CT-001,AST-SW-eaa5,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
054fc3a9-3f7c-413a-9022-469d148bbb6b,CT-001,AST-RTG-6260,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
cf053380-4584-4dcc-9d6a-923cbf1c95c8,CT-001,AST-NEW-SW-530d,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
f0e033d4-1ff3-423a-a341-5e516cbbe1cd,CT-001,AST-SW-eaa5,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
4edb747d-004c-4875-9efb-5129a66a9ae9,CT-001,AST-SW-8b07,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
6596ec15-c918-4131-8aee-5ee54ae8e307,CT-001,AST-RTG-3beb,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
a87d210d-b641-4a4d-b99d-73dd89a1f1b2,CT-001,AST-NEW-SW-53d8,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
5a311bea-9e1d-458a-953c-78e0ddcda751,CT-001,AST-SW-8b07,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
2af89877-1fb1-46ab-9a62-8d88a74403b3,CT-001,AST-SW-1948,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
58eeb3a3-429b-4233-89a6-0dfd956948f6,CT-001,AST-RTG-180a,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
c4a6647b-856b-429f-9aa7-26dca0bb7a31,CT-001,AST-NEW-SW-9979,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
ed74518e-f51f-40c5-bacb-453a3063dc9a,CT-001,AST-SW-1948,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
76a65b7c-6291-4705-aad2-20d5a0e2146c,CT-001,AST-SW-91f9,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
9c06996f-11c3-4d74-bc2c-828918477403,CT-001,AST-RTG-6e60,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
97081436-7a7c-4617-b1aa-1df6a08d741f,CT-001,AST-NEW-SW-2221,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
3cab0e9b-369e-4dbd-bbc9-7546c39a6b62,CT-001,AST-SW-91f9,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
a7fb491d-da72-42c6-8ff7-999b3feb3730,CT-001,AST-SW-2c30,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
7703005a-58c8-48df-8d88-ccd2cb22ff12,CT-001,AST-RTG-f601,MEASURES,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
c37569a0-cc4a-4ac6-a2b3-3df48e32eafc,CT-001,AST-NEW-SW-561c,INSTALLED_AT,1,UNVERIFIED,MEDIUM,MANUAL_ENTRY,
2cf76720-267d-4118-8af6-ec1c1d0ab84b,CT-001,AST-SW-2c30,INSTALLED_AT,1,VERIFIED,MEDIUM,MANUAL_ENTRY,
84e73c94-ded0-441c-9379-08f2f5095af0,CT-001,AST-CAND-001,MEASURES,0,UNVERIFIED,LOW,DISCOVERY_PROPOSAL,"{""evidenceSource"": ""Meter name 'Cầu Tàu 1 - Trạm Đo Phía Bắc'"", ""questions"": [""What physical quantity is measured (electricity, water, fuel)?"", ""Where is the meter physically mounted along Berth 1?"", ""Does this meter measure a vessel shore connection or fixed wharf infrastructure?""]}"
c8ff2ff2-133e-453c-a1c6-276e9220a538,CT-002,AST-CAND-002,MEASURES,0,UNVERIFIED,LOW,DISCOVERY_PROPOSAL,"{""evidenceSource"": ""Meter name 'Cầu Tàu 2 - Bến Xà Lan Phụ'"", ""questions"": [""What physical quantity is measured?"", ""Where is the physical installation mounted along the auxiliary barge wharf?"", ""Is the measured load perimeter floodlighting or vessel power supply?""]}"
fec18d38-a77c-44f2-b0be-259f6eac0f5e,CT-003,AST-CAND-003,MEASURES,0,UNVERIFIED,HIGH,DISCOVERY_PROPOSAL,"{""evidenceSource"": ""Meter name 'Bãi Cont 1 - Cẩu Khung RTG-01'"", ""questions"": [""Is the meter installed directly on crane RTG-01 chassis or in the yard supply pit?"", ""If installed on crane, does the mobile asset log zone transitions during stacking?"", ""What physical medium is measured (electric drive motor vs diesel consumption)?""]}"
