meter_code,name,location,meter_type,utility_type,lifecycle_status,is_active,data_origin,scenario_id,db_map_x,db_map_y,coord_type,canvas_x,canvas_y,spatial_status,assigned_zone_id,assigned_pres_zone_id,target_v2_zones,actual_containing_zones,containment_status,notes
CT-001,Công tơ Trạm A,Trạm điện A,MECHANICAL,UNKNOWN,RETIRED,False,LEGACY_SIMULATION,,0.5995,0.8356,NORMALIZED_RATIO,920.83,855.65,VALID,zone-technical,pres-technical,ZONE_ADMIN,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_ADMIN']; Meter is permanently RETIRED; Data origin is LEGACY_SIMULATION"
CT-002,Công tơ Kho B,Kho B,LCD,UNKNOWN,RETIRED,False,LEGACY_SIMULATION,,0.2648,0.5664,NORMALIZED_RATIO,406.73,579.99,VALID,zone-warehouse,pres-container-west,BLDG_KHO_1|BLDG_KHO_2|BLDG_KHO_4|ZONE_CONTAINER|ZONE_GENERAL,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['BLDG_KHO_1', 'BLDG_KHO_2', 'BLDG_KHO_4', 'ZONE_CONTAINER', 'ZONE_GENERAL']; Meter is permanently RETIRED; Data origin is LEGACY_SIMULATION"
CT-003,Công tơ Cầu cảng 1,Cầu cảng 1,MECHANICAL,ELECTRICITY,RETIRED,False,LEGACY_SIMULATION,,0.176,0.3849,NORMALIZED_RATIO,270.34,394.14,VALID,zone-berth,pres-berth,ZONE_QUAY,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_QUAY']; Meter is permanently RETIRED; Data origin is LEGACY_SIMULATION"
CT-004,Công tơ Cầu cảng 2,Cầu cảng 2,LCD,UNKNOWN,RETIRED,False,LEGACY_SIMULATION,,0.3624,0.3837,NORMALIZED_RATIO,556.65,392.91,VALID,zone-berth,pres-berth,ZONE_QUAY,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_QUAY']; Meter is permanently RETIRED; Data origin is LEGACY_SIMULATION"
CT-005,Công tơ Kho C,Kho C,MECHANICAL,UNKNOWN,RETIRED,False,LEGACY_SIMULATION,,0.3337,0.5786,NORMALIZED_RATIO,512.56,592.49,VALID,zone-warehouse,pres-container-west,BLDG_KHO_1|BLDG_KHO_2|BLDG_KHO_4|ZONE_CONTAINER|ZONE_GENERAL,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['BLDG_KHO_1', 'BLDG_KHO_2', 'BLDG_KHO_4', 'ZONE_CONTAINER', 'ZONE_GENERAL']; Meter is permanently RETIRED; Data origin is LEGACY_SIMULATION"
CT-006,Công tơ Kho D,Kho D,MECHANICAL,UNKNOWN,RETIRED,False,LEGACY_SIMULATION,,0.8773,0.4629,NORMALIZED_RATIO,1347.53,474.01,VALID,zone-warehouse,pres-cfs-east,BLDG_KHO_1|BLDG_KHO_2|BLDG_KHO_4|ZONE_CONTAINER|ZONE_GENERAL,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['BLDG_KHO_1', 'BLDG_KHO_2', 'BLDG_KHO_4', 'ZONE_CONTAINER', 'ZONE_GENERAL']; Meter is permanently RETIRED; Data origin is LEGACY_SIMULATION"
CT-007,Công tơ Trạm B,Trạm điện B,LCD,UNKNOWN,RETIRED,False,LEGACY_SIMULATION,,0.5577,0.877,NORMALIZED_RATIO,856.63,898.05,VALID,zone-technical,pres-technical,ZONE_ADMIN,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_ADMIN']; Meter is permanently RETIRED; Data origin is LEGACY_SIMULATION"
CT-008,Công tơ Cầu cảng 3,Cầu cảng 3,MECHANICAL,UNKNOWN,RETIRED,False,LEGACY_SIMULATION,,0.7311,0.3021,NORMALIZED_RATIO,1122.97,309.35,VALID,zone-berth,pres-berth,ZONE_QUAY,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_QUAY']; Meter is permanently RETIRED; Data origin is LEGACY_SIMULATION"
CT-009,Công tơ Khu kỹ thuật 1,Khu kỹ thuật,LCD,UNKNOWN,RETIRED,False,LEGACY_SIMULATION,,0.6418,0.8295,NORMALIZED_RATIO,985.8,849.41,VALID,zone-technical,pres-technical,ZONE_ADMIN,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_ADMIN']; Meter is permanently RETIRED; Data origin is LEGACY_SIMULATION"
CT-010,Công tơ Khu kỹ thuật 2,Khu kỹ thuật,MECHANICAL,UNKNOWN,RETIRED,False,LEGACY_SIMULATION,,0.8564,0.6821,NORMALIZED_RATIO,1315.43,698.47,VALID,zone-technical,pres-gate,ZONE_ADMIN,,OUTSIDE_ASSIGNED_ZONE,"Legacy Map V1 (1915x821) normalized coordinate scaled to Map V2 (1536x1024); Lands in No polygon (water/road), expected ['ZONE_ADMIN']; Meter is permanently RETIRED; Data origin is LEGACY_SIMULATION"
