meterCode,meterName,utilityType,installedAtStatus,installedAtAssets,measuresStatus,measuresAssets,meterLifecycle
CT-001,Công tơ Trạm A,UNKNOWN,KNOWN,AST-SW-8280 (UNVERIFIED); AST-NEW-SW-918c (UNVERIFIED); AST-SW-8280 (UNVERIFIED); AST-SW-eaa5 (UNVERIFIED); AST-NEW-SW-530d (UNVERIFIED); AST-SW-eaa5 (UNVERIFIED); AST-SW-8b07 (UNVERIFIED); AST-NEW-SW-53d8 (UNVERIFIED); AST-SW-8b07 (UNVERIFIED); AST-SW-1948 (UNVERIFIED); AST-NEW-SW-9979 (UNVERIFIED); AST-SW-1948 (UNVERIFIED); AST-SW-91f9 (UNVERIFIED); AST-NEW-SW-2221 (UNVERIFIED); AST-SW-91f9 (UNVERIFIED); AST-SW-2c30 (UNVERIFIED); AST-NEW-SW-561c (UNVERIFIED); AST-SW-2c30 (UNVERIFIED); AST-SW-8038 (UNVERIFIED); AST-NEW-SW-6bd1 (UNVERIFIED); AST-SW-8038 (UNVERIFIED); AST-SW-a5fb (UNVERIFIED); AST-NEW-SW-11a5 (UNVERIFIED); AST-SW-a5fb (UNVERIFIED); AST-SW-a369 (UNVERIFIED); AST-NEW-SW-ef99 (UNVERIFIED); AST-SW-a369 (UNVERIFIED); AST-SW-3b29 (UNVERIFIED); AST-NEW-SW-4d8d (UNVERIFIED); AST-SW-3b29 (UNVERIFIED); AST-SW-81d1 (UNVERIFIED); AST-NEW-SW-2f17 (UNVERIFIED); AST-SW-81d1 (UNVERIFIED); AST-SW-8216 (UNVERIFIED); AST-NEW-SW-0fce (UNVERIFIED); AST-SW-8216 (UNVERIFIED); AST-SW-49b4 (UNVERIFIED); AST-NEW-SW-7c08 (UNVERIFIED); AST-SW-49b4 (UNVERIFIED); AST-SW-4925 (UNVERIFIED); AST-NEW-SW-e54e (UNVERIFIED); AST-SW-4925 (UNVERIFIED),KNOWN,AST-RTG-62d2 (UNVERIFIED); AST-RTG-6260 (UNVERIFIED); AST-RTG-3beb (UNVERIFIED); AST-RTG-180a (UNVERIFIED); AST-RTG-6e60 (UNVERIFIED); AST-RTG-f601 (UNVERIFIED); AST-CAND-001 (UNVERIFIED); AST-RTG-e504 (UNVERIFIED); AST-RTG-48d4 (UNVERIFIED); AST-RTG-ed2e (UNVERIFIED); AST-RTG-4ed5 (UNVERIFIED); AST-RTG-5679 (UNVERIFIED); AST-RTG-1d93 (UNVERIFIED); AST-RTG-abf4 (UNVERIFIED); AST-RTG-ee7d (UNVERIFIED),ACTIVE
CT-002,Công tơ Kho B,UNKNOWN,KNOWN,TEST-A1-CFA71B (UNVERIFIED); TEST-A2-25E05E (UNVERIFIED); TEST-A1-1386AE (UNVERIFIED); TEST-A2-9346C3 (UNVERIFIED); TEST-A1-F4A843 (UNVERIFIED); TEST-A2-BA6D95 (UNVERIFIED); TEST-A1-BB5940 (UNVERIFIED); TEST-A2-B68DE3 (UNVERIFIED); TEST-A1-72C18C (UNVERIFIED); TEST-A2-B27741 (UNVERIFIED); TEST-A1-E4EB98 (UNVERIFIED); TEST-A2-DB8A56 (UNVERIFIED); TEST-A1-55A031 (UNVERIFIED); TEST-A2-DAD78D (UNVERIFIED); TEST-A1-BC97BC (UNVERIFIED); TEST-A2-01BD1C (UNVERIFIED); TEST-A1-1C0FF7 (UNVERIFIED); TEST-A2-932D7E (UNVERIFIED); TEST-A1-4BF0B3 (UNVERIFIED); TEST-A2-8C0889 (UNVERIFIED); TEST-A1-002485 (UNVERIFIED); TEST-A2-3855AA (UNVERIFIED),KNOWN,AST-CAND-002 (UNVERIFIED),ACTIVE
CT-003,Công tơ Cầu cảng 1,ELECTRICITY,UNKNOWN,NONE,KNOWN,AST-CAND-003 (UNVERIFIED),ACTIVE
CT-004,Công tơ Cầu cảng 2,UNKNOWN,UNKNOWN,NONE,KNOWN,AST-CAND-004 (UNVERIFIED),ACTIVE
CT-005,Công tơ Kho C,UNKNOWN,UNKNOWN,NONE,KNOWN,AST-CAND-005 (UNVERIFIED),ACTIVE
CT-006,Công tơ Kho D,UNKNOWN,UNKNOWN,NONE,KNOWN,AST-CAND-006 (UNVERIFIED),ACTIVE
CT-007,Công tơ Trạm B,UNKNOWN,UNKNOWN,NONE,KNOWN,AST-CAND-007 (UNVERIFIED),ACTIVE
CT-008,Công tơ Cầu cảng 3,UNKNOWN,UNKNOWN,NONE,KNOWN,AST-CAND-008 (UNVERIFIED),ACTIVE
CT-009,Công tơ Khu kỹ thuật 1,UNKNOWN,UNKNOWN,NONE,KNOWN,AST-CAND-009 (UNVERIFIED),ACTIVE
CT-010,Công tơ Khu kỹ thuật 2,UNKNOWN,UNKNOWN,NONE,KNOWN,AST-CAND-010 (UNVERIFIED),ACTIVE
CT-011,Công tơ Bãi Container 1,UNKNOWN,UNKNOWN,NONE,KNOWN,AST-CAND-011 (UNVERIFIED),ACTIVE
CT-012,Công tơ Bãi Container 2,UNKNOWN,UNKNOWN,NONE,KNOWN,AST-CAND-012 (UNVERIFIED),ACTIVE
