meterCode,lifecycleStatus,readingCount,earliestReading,latestReading,latestValue,ocrEvidenceCount,trainingSampleCount,alertCount,activeAssetRelations,historyImpactClassification,safeToDelete
CT-001,ACTIVE,232,2026-08-01 01:13:00.000000,2026-08-29 03:41:18.636409,00836,0,0,0,57,HISTORY_CRITICAL,NO (FK reading/evidence lock)
CT-002,ACTIVE,229,2026-08-01 01:06:00.000000,2026-08-28 10:13:00.000000,NONE,0,0,0,23,HISTORY_CRITICAL,NO (FK reading/evidence lock)
CT-003,ACTIVE,249,2026-08-01 01:06:00.000000,2026-08-29 03:36:49.704526,00801,0,0,0,1,HISTORY_CRITICAL,NO (FK reading/evidence lock)
CT-004,ACTIVE,236,2026-08-01 01:09:00.000000,2026-08-28 09:13:00.000000,001225.69,0,0,0,1,HISTORY_CRITICAL,NO (FK reading/evidence lock)
CT-005,ACTIVE,235,2026-08-01 01:05:00.000000,2026-08-29 03:59:18.039946,00846,0,0,0,1,HISTORY_CRITICAL,NO (FK reading/evidence lock)
CT-006,ACTIVE,241,2026-08-01 02:10:00.000000,2026-08-28 10:09:00.000000,0028728.6,0,0,0,1,HISTORY_CRITICAL,NO (FK reading/evidence lock)
CT-007,ACTIVE,242,2026-08-01 01:04:00.000000,2026-08-28 10:15:00.000000,NONE,0,0,0,1,HISTORY_CRITICAL,NO (FK reading/evidence lock)
CT-008,ACTIVE,235,2026-08-01 01:07:00.000000,2026-08-28 10:05:00.000000,0064413.1,0,0,0,1,HISTORY_CRITICAL,NO (FK reading/evidence lock)
CT-009,ACTIVE,234,2026-08-01 01:04:00.000000,2026-08-28 09:02:00.000000,001885.73,0,0,0,1,HISTORY_CRITICAL,NO (FK reading/evidence lock)
CT-010,ACTIVE,241,2026-08-01 01:07:00.000000,2026-08-28 10:41:00.000000,0032922.7,0,0,0,1,HISTORY_CRITICAL,NO (FK reading/evidence lock)
CT-011,ACTIVE,238,2026-08-01 01:10:00.000000,2026-08-28 09:02:00.000000,001277.68,0,0,0,1,HISTORY_CRITICAL,NO (FK reading/evidence lock)
CT-012,ACTIVE,229,2026-08-01 01:07:00.000000,2026-08-28 10:10:00.000000,0045774.0,0,0,0,1,HISTORY_CRITICAL,NO (FK reading/evidence lock)
