databaseId,publicMeterCode,serialNumber,name,zoneId,presentationZoneId,lifecycleStatus,readingMethod
4557d411-4bef-445e-b045-1ead2e242948,CT-001,UNKNOWN,Công tơ Trạm A,zone-technical,pres-technical,ACTIVE,UNKNOWN
fed0d7d8-bc2d-4c1d-a8f8-262fa3ac396e,CT-002,UNKNOWN,Công tơ Kho B,zone-warehouse,pres-container-west,ACTIVE,UNKNOWN
e0654f54-c401-49f2-8d79-38f6fbf50ef6,CT-003,UNKNOWN,Công tơ Cầu cảng 1,zone-berth,pres-berth,ACTIVE,OCR
bb0d2e8d-67ab-47eb-b36e-26448152c7e4,CT-004,UNKNOWN,Công tơ Cầu cảng 2,zone-berth,pres-berth,ACTIVE,UNKNOWN
0ca43793-5158-46e7-a796-431f2cfd7ecf,CT-005,UNKNOWN,Công tơ Kho C,zone-warehouse,pres-container-west,ACTIVE,UNKNOWN
8b56445b-7da9-4bce-91fc-388f3f7a2737,CT-006,UNKNOWN,Công tơ Kho D,zone-warehouse,pres-cfs-east,ACTIVE,UNKNOWN
5abcdc9c-bda7-403d-99e1-0d1733af3417,CT-007,UNKNOWN,Công tơ Trạm B,zone-technical,pres-technical,ACTIVE,UNKNOWN
50167b00-47da-4c35-9733-5c534188ca32,CT-008,UNKNOWN,Công tơ Cầu cảng 3,zone-berth,pres-berth,ACTIVE,UNKNOWN
eacc7434-4dd3-41d8-88f4-cccf84635295,CT-009,UNKNOWN,Công tơ Khu kỹ thuật 1,zone-technical,pres-technical,ACTIVE,UNKNOWN
171d8959-492a-413c-bb07-6b72d59db796,CT-010,UNKNOWN,Công tơ Khu kỹ thuật 2,zone-technical,pres-gate,ACTIVE,UNKNOWN
00142f61-7c44-42b6-8e57-e4a6c9302557,CT-011,UNKNOWN,Công tơ Bãi Container 1,zone-container,pres-container-center,ACTIVE,UNKNOWN
8908e259-d48d-4fef-aef7-2da41e1466e2,CT-012,UNKNOWN,Công tơ Bãi Container 2,zone-container,pres-container-center,ACTIVE,UNKNOWN
