ITEM,THREAD5_CLAIM,THREAD5_CLASSIFICATION,ACTUAL_CURRENT_STATE,CORRECT_CLASSIFICATION,EVIDENCE_CODE_POINTER,IMPLEMENTATION_IMPACT
Map Date Context,Date context missing on Map V2,NEEDS_BACKEND_DATA,GET /api/v1/map/overview accepts date param; context holds selectedDate,FRONTEND_STATE_INTEGRATION,main.py#L1435; OperationalWorkspaceContext.tsx#L24,Zero backend changes; connect context selectedDate to API
Reading-Round Context,Round context missing on Map V2,NEEDS_BACKEND_DATA,GET /api/v1/map/overview accepts round_id; context holds selectedRoundId,FRONTEND_STATE_INTEGRATION,map_operations.py#L136; OperationalWorkspaceContext.tsx#L26,Zero backend changes; connect context selectedRoundId to API
Zone-Level Progress,Zone progress badges missing on Map V2,NEEDS_BACKEND_DATA,map_operations.py calculates confirmed/total/pct for every zone,FRONTEND_INTEGRATION_ONLY,map_operations.py#L296-L332; schemas.py#L1045,Zero backend changes; render progress card on zone select
Assigned Employee,Real employee markers missing on Map V2,NEEDS_BACKEND_DATA,GET /api/v1/map/zones returns assigned_user from ZoneAssignment,FRONTEND_INTEGRATION_ONLY,map_operations.py#L43-L64; schemas.py#L1052,Zero backend changes; replace demo list with real assignees
Operational Meters,Meter markers missing on Map V2,NEEDS_BACKEND_DATA,GET /api/v1/map/meters and overview.meters return live meter array,FRONTEND_INTEGRATION_ONLY,main.py#L1461; map_operations.py#L264,Zero backend changes; render meter pins on canvas
Meter Coordinates,Meter coordinates in V2 space missing,NEEDS_BACKEND_DATA,Meter.map_x and map_y exist in SQLite and are serialized in MapMeterOut,BUSINESS_RULE_REQUIRED,models.py#L183-L184; db.py#L500,Coordinates normalized to 1915x821; Port to confirm 1536x1024 mapping
Utility Type,Utility network requires backend data,NEEDS_BACKEND_DATA,Meter.utility_type exists in DB and is emitted in MapMeterOut,ALREADY_AVAILABLE,models.py#L190; map_operations.py#L271,Zero backend changes; filter meters by utility_type
Meter Semantic State,Semantic states missing on Map V2,NEEDS_BACKEND_DATA,Backend pre-computes CONFIRMED/REVIEW/OVERDUE/DUE/PENDING/INACTIVE,ALREADY_AVAILABLE,map_operations.py#L195-L235,Zero backend changes; semantic halo/dot ready to render
Zone ID Mapping,Zone mapping architecture missing,NEEDS_BACKEND_DATA,MapVersionZone schema and active config API exist with business_zone_id,ALREADY_AVAILABLE,models.py#L154; map_config.py#L36-L53,Architecture ready; Port to confirm specific V2 zone ID mapping
Search Data,Search capability missing on Map V2,NEEDS_FRONTEND_INTEGRATION,Client-side search index across loaded zones and meters,FRONTEND_INTEGRATION_ONLY,Client memory index,Build search autocomplete component in header
Cross-Screen Navigation,Cross-screen links missing on Map V2,NEEDS_FRONTEND_INTEGRATION,Context methods setActiveTab and openReadingInspection already exist,FRONTEND_STATE_INTEGRATION,OperationalWorkspaceContext.tsx#L86-L136,Zero backend changes; wire inspector buttons to context
Measurement Unit,Unit contract assumed as kWh / m3,UNVERIFIED,MEASUREMENT_UNIT_DATA_GAP; no unit column in meters table,MEASUREMENT_UNIT_DATA_GAP,models.py#L173-L203,Avoid hardcoding units; display numbers with utility icons
Parent-Child Aggregation,Risk of double counting Kho 1 and 2,NEEDS_BUSINESS_CONFIRMATION,Geometry has parent_id; backend OperationalZone is flat,BUSINESS_RULE_REQUIRED,tan_thuan_1_zones_edited.json; models.py#L89,Do not aggregate parent-child; treat as peer zones
Progress Denominator,Denominator undefined,NEEDS_BUSINESS_CONFIRMATION,map_operations uses active meters in zone; admin uses all-day slots,BUSINESS_RULE_REQUIRED,map_operations.py#L298; admin.py#L1513,Label: Đã ghi 34 / 42 công tơ trong lượt; never render NO_DATA as 0%
